,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,duration_ms,danceability,energy,loudness,instrumentalness,speechiness,tempo
135,136,spotify:track:4Li2WHPkuyCdtmokzW2007,"JAY-Z, Kanye West",Ni**as In Paris,Roc Nation/RocAFella/IDJ,118,147,52,436202,219333.0,0.789,0.858,-5.542,0.0,0.311,140.022
136,137,spotify:track:6clzeGvi1CFioMOolbAOlX,"Calvin Harris, Justin Timberlake, Halsey, Pharrell Williams","Stay With Me (with Justin Timberlake, Halsey & Pharrell)",Columbia,7,101,13,435262,229283.0,0.81,0.733,-6.338,6.73e-06,0.0444,125.975
137,138,spotify:track:4oxGI8yyghLuMV7ybRG3kg,Central Cee,Obsessed With You,Central Cee,5,132,54,435040,108651.0,0.746,0.825,-4.457,0.0,0.0435,143.062
138,139,spotify:track:29Co9NKhOM5R9vWCrpkPPK,Cian Ducrot,All For You,Polydor Records,71,141,17,434713,219381.0,0.551,0.268,-9.954,0.0,0.0427,77.079
139,140,spotify:track:3gbBpTdY8lnQwqxNCcf795,Bastille,Pompeii,Virgin Records Ltd,90,143,134,434062,214148.0,0.679,0.715,-6.383,0.0,0.0407,127.435
140,141,spotify:track:2fyIS6GXMgUcSv4oejx63f,Arctic Monkeys,Mardy Bum,Domino Recording Co,126,126,13,430554,175440.0,0.634,0.599,-5.447,0.0,0.0365,112.215
141,142,spotify:track:74loibzxXRL875X20kenvk,Lil Yachty,Poland,Quality Control Music/Motown Records,142,-1,1,430259,83200.0,0.695,0.555,-8.5,0.826,0.0509,150.024
142,143,spotify:track:7wCmS9TTVUcIhRalDYFgPy,Pixies,Where Is My Mind? - Remastered,4AD,124,142,5,429368,234973.0,0.519,0.441,-14.178,0.000453,0.0353,81.334
143,144,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Dandelions,Columbia,66,151,41,428751,233720.0,0.609,0.692,-2.958,0.0,0.0259,116.959
144,145,spotify:track:3WMj8moIAXJhHsyLaqIIHI,Zach Bryan,Something in the Orange,Warner Records,145,-1,1,427595,228013.0,0.369,0.192,-12.151,8.35e-06,0.04,175.212
145,146,spotify:track:5QM0SsyzmBM0pbFY52Xj1X,Sam Smith,I'm Not The Only One,Capitol,141,150,9,427116,239317.0,0.677,0.485,-5.795,2.04e-05,0.0361,82.001
146,147,spotify:track:0u2P5u6lvoDfwTYjAADbn4,"Billie Eilish, Khalid",lovely (with Khalid),Darkroom,54,146,178,425801,200186.0,0.351,0.296,-10.109,0.0,0.0333,115.284
147,148,spotify:track:0gucTLf7trAf37Ua1uAyAu,Nirvana,Smells Like Teen Spirit,Geffen,85,154,91,425591,300893.0,0.489,0.918,-4.502,7.64e-05,0.0554,116.731
148,149,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,Kemosabe Records/RCA Records,11,138,66,424915,172627.0,0.824,0.764,-4.175,0.00294,0.0854,107.998
149,150,spotify:track:4wHkV6OpCanrNg2PRNhWjM,"Aitch, Ashanti",Baby (feat. Ashanti),Capitol,2,145,31,423962,177733.0,0.752,0.813,-8.069,0.0,0.237,103.836
